RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i1349806x,wstkg,12/18/2015 15:06,5,6,0,5,0,6,b12839838,"Negotiations : varieties, contexts, processes, and social order / Anselm Strauss.",BF637.N4S84,n
i12487211,wstkg,1/19/2009 14:11,4,7,0,4,0,7,b12008217,"The structure of conflict, edited by Paul Swingle.",BF637.N4S94,n
i73253315,bstkg,11/28/2016 19:57,2,4,1,1,0,4,b59124192,The truth about negotiations / Leigh Thompson.,BF637.N4T455 2011,n
i58502695,wstkg,6/25/2014 16:30,11,8,1,10,0,11,b42910353,The truth about negotiations / Leigh Thompson.,BF637.N4T455x 2008,n
i25085402,wstkg,5/9/2012 15:39,33,12,0,33,0,33,b21279445,Getting past no : negotiating with difficult people / William Ury.,BF637.N4U79 1991,n
i33053996,lstkg,10/6/2010 17:35,9,1,0,19,0,19,b25459880,Getting past no : negotiating your way from confrontation to cooperation / William Ury.,BF637.N4U79 1993,n
i35660569,lstkg,6/1/2016 15:50,15,7,1,22,0,22,b25459880,Getting past no : negotiating your way from confrontation to cooperation / William Ury.,BF637.N4U79 1993,n
i62615919,kcstk,4/14/2011 11:36,1,0,0,1,0,1,b25459880,Getting past no : negotiating your way from confrontation to cooperation / William Ury.,BF637.N4U79 1993,n
i81775994,bstkg,9/6/2016 13:05,1,3,1,0,0,3,b65598477,Getting to yes with yourself : and other worthy opponents / William Ury.,BF637.N4U793 2015,n
i57712153,kcstk,9/19/2014 10:30,5,3,0,5,0,5,b42376543,The power of a positive No : how to say No and still get to Yes / Wiliam Ury.,BF637.N4U795 2007,n
i79285892,ustk ,  -  -  ,0,0,0,0,0,0,b63213217,The power of a positive No : how to say No and still get to Yes / Wiliam Ury.,BF637.N4U83 2008,n
i82359386,wstkg,  -  -  ,0,0,0,0,0,0,b66420970,Never split the difference : negotiating as if your life depended on it / Chris Voss   with Tahl Raz.,BF637.N4V67 2016,n
i8197629x,kcstk,  -  -  ,0,0,0,0,0,0,b66002588,"APA handbook of nonverbal communication / David Matsumoto, Hyisung C. Hwang, and Mark G. Frank, editors-in-chief.",BF637.N66A63 2016,n
i25519347,wstkg,3/14/2008 15:20,25,27,0,25,0,27,b21633927,Applications of nonverbal behavioral theories and research / edited by Robert S. Feldman.,BF637.N66A66 1992,n
i11491632,wstkg,11/18/2014 9:28,14,3,0,14,0,14,b11186719,Bodily communication / Michael Argyle.,BF637.N66A74 1975,n
i23282964,wstkg,11/17/2014 16:42,31,14,0,31,0,31,b1977333x,Bodily communication / Michael Argyle.,BF637.N66A74 1988,n
i41531851,hstk ,11/8/2006 16:22,1,1,0,1,0,1,b30202437,Bodily communication / Michael Argyle.,BF637.N66A74 1988,n
i47085964,kcstk,8/20/2014 10:20,10,6,0,10,0,10,b34491788,Gestures : the do's and taboos of body language around the world / Roger E. Axtell   illustrated by Mike Fornwald.,BF637.N66A9 1991,n
