RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i23543449,wstkg,2011-01-05 11:35,34,7,0,35,0,35,b19981557,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F78 1988,z
i27480173,wstkg,2017-01-10 10:36,77,36,2,83,0,83,b23319562,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F78 1996,z
i6147583x,wstkg,2016-11-14 16:55,24,13,2,22,0,24,b46116904,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F78 2007,z
i71429670,wdk2h,2017-03-01 10:19,1,12,1,16,6,17,b56953197,Destinies : Canadian history since Confederation / R. Douglas Francis ... [et al.].,F1033.F78 2011,y
i72190772,wdk2h,2017-02-15 9:45,5,0,5,29,6,34,b56953197,Destinies : Canadian history since Confederation / R. Douglas Francis ... [et al.].,F1033.F78 2011,y
i72190784,wdk2h,2016-04-03 16:17,0,0,0,9,6,9,b56953197,Destinies : Canadian history since Confederation / R. Douglas Francis ... [et al.].,F1033.F78 2011,y
i72190796,wdk2h,2017-02-13 13:40,4,0,4,18,6,22,b56953197,Destinies : Canadian history since Confederation / R. Douglas Francis ... [et al.].,F1033.F78 2011,y
i16495251,wstkg,2008-04-01 21:25,2,0,0,2,0,2,b15280986,None of it came easy : the story of James Garfield Gardiner / with a foreword by Burton T. Ricardson.,F1033.G22B4,n
i16495263,wstkg,2010-02-07 15:57,3,5,0,3,0,5,b15280986,None of it came easy : the story of James Garfield Gardiner / with a foreword by Burton T. Ricardson.,F1033.G22B4,n
i15427791,wstkg,  -  -  ,0,0,0,0,0,0,b1443037x,Parliamentary directory and statistical guide.,F1033.G23,n
i4784033x,hstk ,  -  -  ,0,0,0,0,0,0,b1443037x,Parliamentary directory and statistical guide.,F1033.G23,n
i22082979,rrdlg,  -  -  ,0,0,0,0,0,0,b18757194,"Nation-making : biographies of the men who made the Canadian nation, 1867-85 / by J.L. Granatstein.",F1033.G72 1967,n
i47109051,kcstk,2012-05-04 9:47,2,3,0,2,0,3,b34513085,Mrs. King : the life and times of Isabel Mackenzie King / Charlotte Gray.,F1033.G73M7,n
i15427808,wstkg,2011-12-01 12:03,1,2,0,1,0,2,b14430381,"I remember, by W.A. Griesbach.",F1033.G75,n
i46746602,kcstk,2013-10-25 10:34,17,12,0,20,0,20,b34214434,"Canada's war : the politics of the Mackenzie King government, 1939-1945 / J. L. Granatstein.",F1033.G7C3,n
i46746638,kcstk,2013-02-03 15:24,13,10,0,13,0,13,b34214434,"Canada's war : the politics of the Mackenzie King government, 1939-1945 / J. L. Granatstein.",F1033.G7C3,n
