RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i64046199,wstkg,2016-09-23 12:14,18,14,2,16,0,18,b5239394x,Broken circle : the dark legacy of Indian residential schools : a memoir / Theodore Fontaine.,E96.5.F66 2010,n
i72249705,estkg,2017-01-26 13:55,5,3,1,4,0,5,b57879679,Cyber moccasins : beyond residential school / Mary Fortier.,E96.5.F673 2011,n
i84206469,estkg,  -  -  ,0,0,0,0,0,0,b68228508,A is for assimilation : the ABC's of Canada's Aboriginal people and residential schools / Len Fortune.,E96.5.F6785 2011,n
i50494806,wstkg,2016-12-01 13:50,60,26,1,59,0,60,b36392212,Finding my talk : how fourteen Native women reclaimed their lives after residential school / Agnes Grant.,E96.5.G718 2004,n
i61830811,kcstk,2016-10-30 23:40,22,14,1,21,0,22,b36392212,Finding my talk : how fourteen Native women reclaimed their lives after residential school / Agnes Grant.,E96.5.G718 2004,n
i42123793,hstk ,2015-05-26 15:56,47,25,0,47,0,47,b30726852,No end of grief : Indian residential schools in Canada / Agnes Grant.,E96.5.G73,n
i43973000,ustk ,2014-02-25 11:57,1,2,0,1,0,2,b62051337,Resistance and renewal : surviving the Indian residential school / Celia Haig-Brown.,E96.5.H14 2006,n
i81232810,kdvd ,  -  -  ,0,0,0,0,17,0,b65080117,"Jingle dress [videorecording] / a film by James Buffin   producer/director, James Buffin.",E96.5.J56 2014,n
i6345404x,estkg,2016-02-04 12:32,9,2,1,8,0,9,b48921713,Fatty legs : a true story / Christy Jordan-Fenton & Margaret Pokiak-Fenton   artwork by Liz Amini-Holmes.,E96.5.J65 2010,n
i70258612,cfbg ,2012-02-10 10:18,1,0,0,1,0,1,b55842732,Les bas du pensionnat : une histoire vraie / Christy Jordan-Fenton et Margaret Pokiak-Fenton   illustrations de Liz Amini-Holmes   texte fran_ßais d'H_©l_®ne Pilotto.,E96.5.J6514 2011,n
i72246741,estkg,2016-02-04 12:33,5,0,1,4,0,5,b5787671x,A stranger at home : a true story / Christy Jordan-Fenton & Margaret Pokiak-Fenton   artwork by Liz Amini-Holmes.,E96.5.J652 2011,n
i79255838,estkg,2016-03-30 15:11,3,0,0,3,0,3,b63185428,Not my girl / Christy Jordan-Fenton & Margaret Pokiak-Fenton   art by Gabrielle Grimard.,E96.5.J652 2014,n
i73782397,cfbg ,2016-01-06 16:58,1,1,0,1,0,1,b59604669,_âtrang_®re chez moi : une vraie histoire / Christy Jordan-Fenton et Margaret Pokiak-Fenton   Illustrations de Liz Amini-Holmes   Texte fran_ßais d'H_©l_®ne Pilotto.,E96.5.J65214 2012,n
i77423446,estkg,2017-01-26 13:55,4,0,1,3,0,4,b61264817,When I was eight / Christy Jordan-Fenton & Margaret Pokiak-Fenton   art by Gabrielle Grimard.,E96.5.J653 2013,n
i4385235x,wovrg,2016-04-25 17:47,54,34,0,54,0,54,b32126098,Justice and reconciliation : the legacy of Indian residential schools and the journey toward reconciliation : a resource for congregations / the United Church of Canada.,E96.5.J87 2001,n
